"Deck","Topic","Front","Back","Type","Tags","Caveat"
"IA Practitioner","Amazon Bedrock","¿Qué es Amazon Bedrock?","Servicio totalmente administrado que ofrece modelos fundacionales de alto rendimiento para construir aplicaciones de IA generativa en AWS.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué permite hacer Bedrock sin entrenar modelos propios?","Empezar a construir aplicaciones de IA generativa usando modelos fundacionales disponibles.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué se debe hacer antes de usar un modelo base en Bedrock?","Solicitar permiso para el modelo base.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué modelos tienen aprobación inmediata según la fuente?","Modelos Amazon Titan.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic","Según la fuente del curso."
"IA Practitioner","Amazon Bedrock","¿Qué puede pasar con modelos de terceros en Bedrock?","Pueden requerir información adicional y se cobran según tarifas del tercero a través de AWS.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","Bedrock = {{c1::GenAI administrada con FM}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
"IA Practitioner","Amazon Bedrock","¿Qué es fine-tuning en Bedrock?","Ajustar un modelo preentrenado para una tarea específica usando datos adicionales.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Por qué fine-tuning evita entrenar desde cero?","Porque adapta un modelo preentrenado con menos datos y recursos que reentrenar un FM completo.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","El formato fuente para fine-tuning usa pares {{c1::prompt}} / {{c2::completion}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
"IA Practitioner","Amazon Bedrock","¿Qué es continuous pre-training?","Mejorar modelos preentrenados con datos sin etiquetar para adaptarlos a dominios como finanzas, medicina o derecho.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","Continuous pre-training usa entradas {{c1::input}} de texto.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze","Según el formato de la fuente."
"IA Practitioner","Amazon Bedrock","¿Qué hace RAG en Bedrock?","Recupera datos empresariales y enriquece el prompt para respuestas más relevantes y precisas.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","RAG = {{c1::contexto externo sin cambiar el FM}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
"IA Practitioner","Amazon Bedrock","¿Qué aportan las bases de conocimiento en Bedrock?","Contexto privado de empresa desde fuentes como S3, SharePoint y web crawler.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué bases vectoriales menciona la fuente para Bedrock?","OpenSearch Service, DocumentDB, Aurora, RDS for PostgreSQL y Neptune.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Para qué sirven los Guardrails de Bedrock?","Para controles de uso seguro, ético y responsable.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","Guardrails permiten {{c1::temas denegados}}, {{c2::filtros de contenido}}, {{c3::defensa contra jailbreak/prompt injection}} y {{c4::eliminación de PII/datos sensibles}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
"IA Practitioner","Amazon Bedrock","¿Qué son los agentes de Bedrock?","Asistentes que interactúan con usuarios y ejecutan tareas.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Con qué pueden conectarse los agentes de Bedrock?","Bases de datos, APIs, Lambda y bases de conocimiento.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué permite la evaluación de modelos en Bedrock?","Evaluar, comparar y seleccionar modelos fundacionales.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","La evaluación automática en Bedrock usa métricas como {{c1::precisión}}, {{c2::robustez}} y {{c3::toxicidad}}.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze",""
"IA Practitioner","Amazon Bedrock","¿Qué tipos de evaluación de modelos menciona Bedrock?","Evaluación automática y evaluación humana.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Cuántos tipos de tarea se eligen por trabajo de evaluación en Bedrock?","Solo un tipo de tarea.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué métricas de evaluación menciona la fuente para Bedrock?","ROUGE, BLEU y BERTScore.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic",""
"IA Practitioner","Amazon Bedrock","¿Qué modalidad de coste de Bedrock es requerida para modelos personalizados?","Rendimiento aprovisionado.","basic","deck::ia-practitioner topic::amazon-bedrock card::basic","Precios y reglas de coste pueden cambiar con el tiempo."
"IA Practitioner","Amazon Bedrock","En Bedrock, batch genera {{c1::múltiples predicciones}}, salida en {{c2::S3}} y descuentos de hasta {{c3::50%}} según fuente.","","cloze","deck::ia-practitioner topic::amazon-bedrock card::cloze","Precios y descuentos pueden cambiar con el tiempo."
"IA Practitioner","Amazon Comprehend","¿Qué es Amazon Comprehend?","Servicio NLP que usa ML para descubrir información y conexiones valiosas en textos.","basic","deck::ia-practitioner topic::amazon-comprehend card::basic",""
"IA Practitioner","Amazon Comprehend","¿Qué capacidades principales tiene Amazon Comprehend?","Identificar idioma, extraer palabras/frases importantes y analizar sentimiento.","basic","deck::ia-practitioner topic::amazon-comprehend card::basic",""
"IA Practitioner","Amazon Comprehend","Comprehend analiza sentimiento como {{c1::positivo}}, {{c2::negativo}} o {{c3::neutro}}.","","cloze","deck::ia-practitioner topic::amazon-comprehend card::cloze",""
"IA Practitioner","Amazon Comprehend","¿Qué es Amazon Comprehend Medical?","Servicio NLP para textos clínicos no estructurados.","basic","deck::ia-practitioner topic::amazon-comprehend card::basic",""
"IA Practitioner","Amazon Comprehend","¿Qué extrae Comprehend Medical?","Información médica relevante desde notas médicas y resultados de pruebas.","basic","deck::ia-practitioner topic::amazon-comprehend card::basic",""
"IA Practitioner","Amazon Comprehend","¿Dónde guarda resultados Amazon Comprehend Medical?","En buckets S3.","basic","deck::ia-practitioner topic::amazon-comprehend card::basic",""
"IA Practitioner","Amazon Comprehend","¿Qué servicio elegir para entender sentimiento, idioma o frases clave en texto?","Amazon Comprehend.","scenario","deck::ia-practitioner topic::amazon-comprehend card::scenario",""
"IA Practitioner","Amazon Comprehend","¿Cuál es la diferencia clave entre Comprehend y Translate?","Comprehend entiende o extrae información del texto; Translate traduce.","basic","deck::ia-practitioner topic::amazon-comprehend card::basic",""
"IA Practitioner","Amazon Kendra","¿Qué es Amazon Kendra?","Servicio de búsqueda empresarial con NLP.","basic","deck::ia-practitioner topic::amazon-kendra card::basic",""
"IA Practitioner","Amazon Kendra","¿Qué permite buscar Amazon Kendra?","Repositorios de contenido mediante conectores integrados.","basic","deck::ia-practitioner topic::amazon-kendra card::basic",""
"IA Practitioner","Amazon Kendra","¿Desde qué tipos de contenido puede extraer respuestas Kendra?","Textos, PDFs, HTML, PowerPoint, Microsoft Word, FAQs, etc.","basic","deck::ia-practitioner topic::amazon-kendra card::basic",""
"IA Practitioner","Amazon Kendra","Flujo de Kendra: usuarios hacen {{c1::consulta NLP}}, Kendra consulta {{c2::fuentes de datos}} y devuelve {{c3::resultados/respuestas}}.","","cloze","deck::ia-practitioner topic::amazon-kendra card::cloze",""
"IA Practitioner","Amazon Kendra","¿Qué servicio usar para búsqueda empresarial inteligente sobre repositorios internos?","Amazon Kendra.","scenario","deck::ia-practitioner topic::amazon-kendra card::scenario",""
"IA Practitioner","Amazon Kendra","¿Con qué puede integrarse Amazon Q Business para usar datos empresariales?","Amazon Kendra.","basic","deck::ia-practitioner topic::amazon-kendra card::basic",""
"IA Practitioner","Amazon Lex & Connect","¿Qué es Amazon Lex?","Servicio para construir interfaces conversacionales y bots de voz/texto usando ASR y NLU.","basic","deck::ia-practitioner topic::amazon-lex-connect card::basic",""
"IA Practitioner","Amazon Lex & Connect","¿Qué hace ASR en Amazon Lex?","Convierte habla en texto.","basic","deck::ia-practitioner topic::amazon-lex-connect card::basic",""
"IA Practitioner","Amazon Lex & Connect","¿Qué hace NLU en Amazon Lex?","Reconoce la intención detrás del texto y las llamadas.","basic","deck::ia-practitioner topic::amazon-lex-connect card::basic",""
"IA Practitioner","Amazon Lex & Connect","¿Qué es Amazon Connect?","Centro de contacto en la nube.","basic","deck::ia-practitioner topic::amazon-lex-connect card::basic",""
"IA Practitioner","Amazon Lex & Connect","¿Qué herramientas proporciona Amazon Connect?","Llamadas, chat, gestión de agentes y análisis de interacciones con clientes.","basic","deck::ia-practitioner topic::amazon-lex-connect card::basic",""
"IA Practitioner","Amazon Lex & Connect","En Lex & Connect, Connect gestiona {{c1::la llamada/interacción}} y Lex interactúa mediante {{c2::ASR y NLU}}.","","cloze","deck::ia-practitioner topic::amazon-lex-connect card::cloze",""
"IA Practitioner","Amazon Lex & Connect","¿Para qué puede usarse AWS Lambda en el flujo Lex & Connect?","Para ejecutar lógica adicional, como consultar o modificar sistemas externos.","basic","deck::ia-practitioner topic::amazon-lex-connect card::basic",""
"IA Practitioner","Amazon Lex & Connect","Escenario: llamada/chat, intención del usuario y centro de contacto. ¿Qué servicios pensar?","Amazon Lex & Connect.","scenario","deck::ia-practitioner topic::amazon-lex-connect card::scenario",""
"IA Practitioner","Amazon Lex & Connect","¿Qué aporta Amazon Q para Amazon Connect?","Mejora interacciones de clientes y ofrece respuestas automatizadas más precisas.","basic","deck::ia-practitioner topic::amazon-lex-connect card::basic",""
"IA Practitioner","Amazon Personalize","¿Qué es Amazon Personalize?","Servicio para construir aplicaciones con recomendaciones personalizadas en tiempo real.","basic","deck::ia-practitioner topic::amazon-personalize card::basic",""
"IA Practitioner","Amazon Personalize","¿Dónde se puede integrar Amazon Personalize según la fuente?","Sitios web existentes, aplicaciones, SMS y sistemas de marketing por correo electrónico.","basic","deck::ia-practitioner topic::amazon-personalize card::basic",""
"IA Practitioner","Amazon Personalize","¿Qué servicio elegir para recomendaciones basadas en historial de compras?","Amazon Personalize.","scenario","deck::ia-practitioner topic::amazon-personalize card::scenario",""
"IA Practitioner","Amazon Personalize","¿Qué señales de escenario apuntan a Amazon Personalize?","Historial, preferencias, productos o contenido recomendado.","scenario","deck::ia-practitioner topic::amazon-personalize card::scenario",""
"IA Practitioner","Amazon Polly","¿Qué es Amazon Polly?","Servicio que convierte texto en voz similar a voz humana.","basic","deck::ia-practitioner topic::amazon-polly card::basic",""
"IA Practitioner","Amazon Polly","¿Qué ofrece Amazon Polly para crear aplicaciones activadas por voz?","Un conjunto amplio de idiomas y voces realistas.","basic","deck::ia-practitioner topic::amazon-polly card::basic",""
"IA Practitioner","Amazon Polly","¿Qué servicio elegir para convertir artículos o texto en audio?","Amazon Polly.","scenario","deck::ia-practitioner topic::amazon-polly card::scenario",""
"IA Practitioner","Amazon Polly","Polly = {{c1::text-to-speech}}; Transcribe = {{c2::speech-to-text}}.","","cloze","deck::ia-practitioner topic::amazon-polly card::cloze",""
"IA Practitioner","Amazon Q","¿Qué es Amazon Q?","Asistente basado en IA generativa para acelerar desarrollo de software y aprovechar datos internos empresariales.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","¿Qué productos de Amazon Q menciona la fuente?","Amazon Q Business, Amazon Q Apps y Amazon Q Developer.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","¿Con qué servicios puede integrarse Amazon Q según la fuente?","QuickSight, Amazon Connect y AWS Supply Chain.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","¿Qué indica la fuente sobre contenido en Q Developer Pro o Q Business?","Que el contenido no se usa para mejorar modelos subyacentes para otros.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","¿Qué es Amazon Q Business?","Entorno de chat interactivo para usuarios finales de la organización con datos empresariales y permisos.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","Q Business filtra respuestas generativas según {{c1::permisos de usuario y grupo}}.","","cloze","deck::ia-practitioner topic::amazon-q card::cloze",""
"IA Practitioner","Amazon Q","¿Qué hacen los conectores de Amazon Q?","Sincronizan datos desde repositorios de contenido.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","¿Qué permiten los plugins de Amazon Q?","Acciones como crear tickets, incidentes, bugs o casos en sistemas externos.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","¿Qué es Amazon Q Apps?","Servicio para crear aplicaciones sin programación desde conversaciones o requisitos en lenguaje natural.","basic","deck::ia-practitioner topic::amazon-q card::basic",""
"IA Practitioner","Amazon Q","¿Qué es Amazon Q Developer?","Asistente para desarrollo con sugerencias de código, automatización, refactorización, documentación, modernización, seguridad y optimización.","basic","deck::ia-practitioner topic::amazon-q card::basic","La fuente lo menciona como formalmente CodeWhisperer."
"IA Practitioner","Amazon Q","¿Qué servicio Q usar para chat con datos empresariales y permisos?","Amazon Q Business.","scenario","deck::ia-practitioner topic::amazon-q card::scenario",""
"IA Practitioner","Amazon Q","¿Qué servicio Q usar para apps sin código desde lenguaje natural?","Amazon Q Apps.","scenario","deck::ia-practitioner topic::amazon-q card::scenario",""
"IA Practitioner","Amazon Q","¿Qué servicio Q usar para asistencia en IDE/CLI y seguridad de código?","Amazon Q Developer.","scenario","deck::ia-practitioner topic::amazon-q card::scenario",""
"IA Practitioner","Amazon Rekognition","¿Qué es Amazon Rekognition?","Servicio para reconocimiento de imágenes y análisis de videos.","basic","deck::ia-practitioner topic::amazon-rekognition card::basic",""
"IA Practitioner","Amazon Rekognition","¿Qué logra Rekognition en análisis multimedia?","Automatiza y reduce coste de análisis multimedia, integra análisis avanzado, escala y se paga según uso.","basic","deck::ia-practitioner topic::amazon-rekognition card::basic",""
"IA Practitioner","Amazon Rekognition","¿Qué casos de uso menciona Rekognition?","Verificación de identidad, moderación, análisis en tiempo real, objetos, texto y etiquetas personalizadas.","basic","deck::ia-practitioner topic::amazon-rekognition card::basic",""
"IA Practitioner","Amazon Rekognition","Rekognition detecta contenido {{c1::inapropiado}}, {{c2::no deseado}} u {{c3::ofensivo}} automáticamente.","","cloze","deck::ia-practitioner topic::amazon-rekognition card::cloze",""
"IA Practitioner","Amazon Rekognition","¿Para qué sirven los adaptadores de moderación personalizados en Rekognition?","Para mejorar precisión y adaptarse a casos específicos con imágenes etiquetadas.","basic","deck::ia-practitioner topic::amazon-rekognition card::basic",""
"IA Practitioner","Amazon Rekognition","¿Con qué se integra Rekognition para revisión humana cuando hay dudas?","Amazon Augmented AI (A2I).","basic","deck::ia-practitioner topic::amazon-rekognition card::basic",""
"IA Practitioner","Amazon Rekognition","Escenario: detectar objetos, rostros, texto en imagen, etiquetas o moderación multimedia. ¿Qué servicio?","Amazon Rekognition.","scenario","deck::ia-practitioner topic::amazon-rekognition card::scenario",""
"IA Practitioner","Amazon Rekognition","¿Cómo diferenciar Rekognition de Textract?","Rekognition analiza imágenes/video; Textract entiende documentos escaneados.","basic","deck::ia-practitioner topic::amazon-rekognition card::basic",""
"IA Practitioner","Amazon SageMaker","¿Qué es Amazon SageMaker?","Servicio totalmente gestionado de Machine Learning para construir, entrenar y desplegar modelos de ML de forma rápida y segura.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","¿Qué frameworks y algoritmos soporta SageMaker según la fuente?","TensorFlow, PyTorch, MXNet, entre otros.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","¿Cómo permite SageMaker usar algoritmos propios?","Trayéndolos en contenedores Docker.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","Flujo típico de ML: {{c1::datos}}, {{c2::limpieza/preparación}}, {{c3::modelo}}, {{c4::entrenamiento}}, {{c5::evaluación}}, {{c6::despliegue}}, {{c7::monitoreo continuo}}.","","cloze","deck::ia-practitioner topic::amazon-sagemaker card::cloze",""
"IA Practitioner","Amazon SageMaker","¿Qué es SageMaker Studio?","Interfaz unificada para desarrollar, entrenar, desplegar y monitorizar modelos.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","¿Qué es SageMaker Data Wrangler?","Herramienta para preparar datos para ML con interfaz visual y lenguaje natural.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","¿Qué informes de calidad genera Data Wrangler?","Faltantes, duplicados y anomalías.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","¿Qué es SageMaker Feature Store?","Repositorio centralizado para almacenar, compartir y gestionar características para modelos ML.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","Feature Store soporta almacenamiento {{c1::offline para entrenamiento}} y {{c2::online para inferencia en tiempo real}}.","","cloze","deck::ia-practitioner topic::amazon-sagemaker card::cloze",""
"IA Practitioner","Amazon SageMaker","¿Qué hace Automatic Model Tuning (AMT)?","Optimiza automáticamente hiperparámetros y ejecuta experimentos en paralelo.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","Inferencia en tiempo real = {{c1::baja latencia}}; batch = {{c2::grandes volúmenes sin respuesta inmediata}}; asincrónica = {{c3::solicitudes largas sin respuesta inmediata}}.","","cloze","deck::ia-practitioner topic::amazon-sagemaker card::cloze",""
"IA Practitioner","Amazon SageMaker","¿Qué hace SageMaker Model Monitor?","Monitorea modelos en producción, captura estadísticas, anomalías y deriva, y envía alertas con CloudWatch.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
"IA Practitioner","Amazon SageMaker","Model Monitor detecta {{c1::data drift}}, {{c2::calidad de datos}}, {{c3::desempeño}}, {{c4::sesgo}} y {{c5::deriva de explicabilidad}}.","","cloze","deck::ia-practitioner topic::amazon-sagemaker card::cloze",""
"IA Practitioner","Amazon SageMaker","¿Qué es SageMaker Model Registry?","Almacén central para modelos versionados con aprobaciones, control de acceso y auditoría.","basic","deck::ia-practitioner topic::amazon-sagemaker card::basic",""
